iter	Logloss
0	0.6881211889
1	0.6832467159
2	0.6780641317
3	0.6734666606
4	0.669039185
5	0.6648951176
6	0.6605709654
7	0.6565421981
8	0.6528159745
9	0.6494548205
10	0.6458782214
11	0.6424099729
12	0.6391095767
13	0.6360229584
14	0.6331155609
15	0.6302000108
16	0.6273380948
17	0.6246940608
18	0.6223955362
19	0.6204269041
20	0.618667215
21	0.6162538813
22	0.6141472837
23	0.6119268926
24	0.6099411409
25	0.6080850851
26	0.6065137274
27	0.6047312456
28	0.6030354507
29	0.6015067558
30	0.5998095493
31	0.5983681458
32	0.5970116597
33	0.5959566188
34	0.5944433771
35	0.5933740314
36	0.5919171304
37	0.5906787393
38	0.5893645842
39	0.588408124
40	0.5873745514
41	0.5863830163
42	0.585215003
43	0.5842158723
44	0.5834042105
45	0.5824012627
46	0.5814156757
47	0.5805637493
48	0.579704792
49	0.5790292915
50	0.5781390613
51	0.5773836038
52	0.5766936265
53	0.5759699599
54	0.5754922965
55	0.5746723674
56	0.573857601
57	0.5732275028
58	0.5727090794
59	0.5722391406
60	0.5716575192
61	0.5711209533
62	0.5704826329
63	0.5699075422
64	0.5694069578
65	0.5688730376
66	0.5685247724
67	0.5679816576
68	0.5674117288
69	0.5669312497
70	0.5663924036
71	0.5657949472
72	0.5653964635
73	0.564990106
74	0.5646850636
75	0.564194086
76	0.5638648497
77	0.5635443211
78	0.5632976343
79	0.5628898568
80	0.5625042982
81	0.5621310576
82	0.5618390172
83	0.5614185407
84	0.561082048
85	0.5608841136
86	0.5604990003
87	0.5602262545
88	0.5599915942
89	0.559752441
90	0.5593930953
91	0.5592028327
92	0.5589038536
93	0.5586172976
94	0.5583695328
95	0.5581282094
96	0.557888809
97	0.5576214515
98	0.5573781656
99	0.5571843379
100	0.5570310901
101	0.5568105902
102	0.5567222012
103	0.556546556
104	0.556368453
105	0.5561398101
106	0.5559027979
107	0.5557776193
108	0.5555316754
109	0.5553843625
110	0.5552097611
111	0.5550282847
112	0.5548748886
113	0.5546734307
114	0.5544253301
115	0.5542419083
116	0.5540729075
117	0.5540369136
118	0.5539171314
119	0.5537441926
120	0.5535376127
121	0.5534419777
122	0.5533246311
123	0.5531348967
124	0.5530441625
125	0.552866677
126	0.5527344763
127	0.5525902014
128	0.5523851435
129	0.5522228131
130	0.5520979296
131	0.551983825
132	0.5518265178
133	0.5517050607
134	0.5515595219
135	0.5514058905
136	0.5513009643
137	0.5511050306
138	0.5509220651
139	0.5507184477
140	0.5505789808
141	0.5503963158
142	0.5502438316
143	0.5500661435
144	0.5499230105
145	0.5498014319
146	0.5496980908
147	0.5495491732
148	0.5494241166
149	0.5492814022
150	0.5491035772
151	0.5489826737
152	0.548872674
153	0.5487785152
154	0.5486217267
155	0.5484807576
156	0.5483624273
157	0.5482457889
158	0.5481079752
159	0.5479926939
160	0.5478726536
161	0.5478024732
162	0.5477102733
163	0.547585272
164	0.547522992
165	0.5473999302
166	0.5472835059
167	0.5471389259
168	0.5469922035
169	0.546870826
170	0.5467939584
171	0.5467342755
172	0.5466217984
173	0.5465118259
174	0.5463897392
175	0.546277553
176	0.5461411349
177	0.5460143543
178	0.5459225605
179	0.5458410719
180	0.5457646197
181	0.5456998334
182	0.5456037868
183	0.5455289946
184	0.5454198305
185	0.5453519314
186	0.545283678
187	0.5452143518
188	0.5451187697
189	0.5449897787
190	0.5448826367
191	0.5447426367
192	0.5446255664
193	0.5445239668
194	0.5444507786
195	0.544384902
196	0.5442596528
197	0.54418211
198	0.5440693399
199	0.5439538547
200	0.5438540192
201	0.5437763105
202	0.5436690418
203	0.5436141167
204	0.5435098712
205	0.5434482332
206	0.5433184546
207	0.5432140534
208	0.5431300285
209	0.5430599872
210	0.5429827841
211	0.5428249892
212	0.5427489671
213	0.5426287807
214	0.5425229292
215	0.5425166642
216	0.542390728
217	0.5423092559
218	0.5422367327
219	0.54212622
220	0.542060567
221	0.541937313
222	0.5419153307
223	0.5418864405
224	0.5418106744
225	0.5417956823
226	0.5416725358
227	0.5415771361
228	0.5415049532
229	0.5414043203
230	0.5413214063
231	0.5412272665
232	0.541159552
233	0.5410653013
234	0.540978036
235	0.5409142189
236	0.5408377563
237	0.5407383294
238	0.5406525466
239	0.5405516914
240	0.5404849936
241	0.5404088635
242	0.5402889978
243	0.5402460931
244	0.5401986471
245	0.5401097587
246	0.5400456718
247	0.5399419377
248	0.5399075185
249	0.5398364052
250	0.5397792749
251	0.5397389683
252	0.539693795
253	0.539599765
254	0.5395615411
255	0.5395426504
256	0.5395298801
257	0.5394967635
258	0.5394534218
259	0.5394065307
260	0.5393431232
261	0.5392394843
262	0.5391751671
263	0.539105041
264	0.5390330967
265	0.5389601987
266	0.5388631407
267	0.5387952415
268	0.538722949
269	0.5386440152
270	0.5385655985
271	0.5385111745
272	0.538376867
273	0.5382640287
274	0.538171822
275	0.5381050588
276	0.5380467682
277	0.5379989143
278	0.5379547887
279	0.537816661
280	0.5377174124
281	0.5376328957
282	0.5375751468
283	0.537507083
284	0.5374050011
285	0.5373343359
286	0.537266442
287	0.537193689
288	0.5371649362
289	0.5371387528
290	0.5371341287
291	0.5370773936
292	0.5369656033
293	0.536897398
294	0.5368315971
295	0.5367433266
296	0.536679265
297	0.536605596
298	0.5365136852
299	0.5364670823
